league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,diff_rank,total_score,total_rank,franchise_name,user_name,franchise_name_opponent,user_name_opponent
LTS Bowl - L4,3,2,0,6,4.2,NA,4.2,56,4.2,66,Chiotan Deck,apulianas,The New Age Process,armandoguzman
LTS Bowl - L4,3,3,9.5,8,12.25,NA,2.75,59,21.75,54,Trailing Daler,teamdaler,SLOPPY STEAKS,CommieEsq
LTS Bowl - L4,3,4,18.2,11,0,NA,18.2,36,18.2,57,Poop on the Cob,Joker1b,Trailer Park Pimpin',JusCasKarDad
LTS Bowl - L4,3,5,35.45,12,0,NA,35.45,20,35.45,51,West Coast Aunt,IreneTurner,Shake and Bake,gogata12345
LTS Bowl - L4,3,6,4.2,2,0,NA,4.2,56,4.2,66,The New Age Process,armandoguzman,Chiotan Deck,apulianas
LTS Bowl - L4,3,7,0,1,1,NA,1,64,1,67,outshine13,outshine13,The Lib Owners,nak97
LTS Bowl - L4,3,8,12.25,3,9.5,NA,2.75,59,21.75,54,SLOPPY STEAKS,CommieEsq,Trailing Daler,teamdaler
LTS Bowl - L4,3,9,11.35,10,5.15,NA,6.199999999999999,50,16.5,58,York Mobile Detailing,Bmullin105,Charity Cases,crackofdawn321
LTS Bowl - L4,3,10,5.15,9,11.35,NA,6.199999999999999,50,16.5,58,Charity Cases,crackofdawn321,York Mobile Detailing,Bmullin105
LTS Bowl - L4,3,11,0,4,18.2,NA,18.2,36,18.2,57,Trailer Park Pimpin',JusCasKarDad,Poop on the Cob,Joker1b
LTS Bowl - L4,3,12,0,5,35.45,NA,35.45,20,35.45,51,Shake and Bake,gogata12345,West Coast Aunt,IreneTurner
